x,g1,g2,g3,g4,g5
-0.23,0.180067,0.122567,0.093817,0.065067,0.00756699999999999
-0.229,0.178949989,0.121699989,0.093074989,0.064449989,0.007199989
-0.228,0.177836352,0.120836352,0.092336352,0.063836352,0.00683635199999999
-0.227,0.176726083,0.119976083,0.091601083,0.063226083,0.00647608299999999
-0.226,0.175619176,0.119119176,0.090869176,0.062619176,0.00611917599999999
-0.225,0.174515625,0.118265625,0.090140625,0.062015625,0.00576562499999999
-0.224,0.173415424,0.117415424,0.089415424,0.061415424,0.00541542399999999
-0.223,0.172318567,0.116568567,0.088693567,0.060818567,0.00506856699999999
-0.222,0.171225048,0.115725048,0.087975048,0.060225048,0.00472504799999999
-0.221,0.170134861,0.114884861,0.087259861,0.059634861,0.00438486099999999
-0.22,0.169048,0.114048,0.086548,0.059048,0.00404799999999999
-0.219,0.167964459,0.113214459,0.085839459,0.058464459,0.00371445899999999
-0.218,0.166884232,0.112384232,0.085134232,0.057884232,0.00338423200000001
-0.217,0.165807313,0.111557313,0.084432313,0.057307313,0.00305731300000001
-0.216,0.164733696,0.110733696,0.083733696,0.056733696,0.00273369600000001
-0.215,0.163663375,0.109913375,0.083038375,0.056163375,0.00241337500000001
-0.214,0.162596344,0.109096344,0.082346344,0.055596344,0.00209634400000001
-0.213,0.161532597,0.108282597,0.081657597,0.055032597,0.001782597
-0.212,0.160472128,0.107472128,0.080972128,0.054472128,0.00147212800000001
-0.211,0.159414931,0.106664931,0.080289931,0.053914931,0.00116493100000001
-0.21,0.158361,0.105861,0.079611,0.053361,0.000861000000000004
-0.209,0.157310329,0.105060329,0.078935329,0.052810329,0.000560329000000002
-0.208,0.156262912,0.104262912,0.078262912,0.052262912,0.000262912000000009
-0.207,0.155218743,0.103468743,0.077593743,0.051718743,-3.12569999999963e-05
-0.206,0.154177816,0.102677816,0.076927816,0.051177816,-0.000322183999999993
-0.205,0.153140125,0.101890125,0.076265125,0.050640125,-0.000609874999999996
-0.204,0.152105664,0.101105664,0.075605664,0.050105664,-0.000894335999999996
-0.203,0.151074427,0.100324427,0.074949427,0.049574427,-0.001175573
-0.202,0.150046408,0.099546408,0.074296408,0.049046408,-0.00145359199999999
-0.201,0.149021601,0.098771601,0.073646601,0.048521601,-0.001728399
-0.2,0.148,0.098,0.073,0.048,-0.00199999999999999
-0.199,0.146981599,0.097231599,0.072356599,0.047481599,-0.002268401
-0.198,0.145966392,0.096466392,0.071716392,0.046966392,-0.002533608
-0.197,0.144954373,0.095704373,0.071079373,0.046454373,-0.002795627
-0.196,0.143945536,0.094945536,0.070445536,0.045945536,-0.003054464
