x,g
-0.692,0.610179381504
-0.69,0.61091979
-0.688,0.611628785664
-0.686,0.612306548784
-0.684,0.612953259264
-0.682,0.613569096624
-0.68,0.61415424
-0.678,0.614708868144
-0.676,0.615233159424
-0.674,0.615727291824
-0.672,0.616191442944
-0.67,0.61662579
-0.668,0.617030509824
-0.666,0.617405778864
-0.664,0.617751773184
-0.662,0.618068668464
-0.66,0.61835664
-0.658,0.618615862704
-0.656,0.618846511104
-0.654,0.619048759344
-0.652,0.619222781184
-0.65,0.61936875
-0.648,0.619486838784
-0.646,0.619577220144
-0.644,0.619640066304
-0.642,0.619675549104
-0.64,0.61968384
-0.638,0.619665110064
-0.636,0.619619529984
-0.634,0.619547270064
-0.632,0.619448500224
-0.63,0.61932339
-0.628,0.619172108544
-0.626,0.618994824624
-0.624,0.618791706624
-0.622,0.618562922544
-0.62,0.61830864
-0.618,0.618029026224
-0.616,0.617724248064
-0.614,0.617394471984
-0.612,0.617039864064
-0.61,0.61666059
-0.608,0.616256815104
-0.606,0.615828704304
-0.604,0.615376422144
-0.602,0.614900132784
-0.6,0.6144
-0.598,0.613876187184
-0.596,0.613328857344
-0.594,0.612758173104
-0.592,0.612164296704
-0.59,0.61154739
-0.588,0.610907614464
-0.586,0.610245131184
-0.584,0.609560100864
-0.582,0.608852683824
-0.58,0.60812304
-0.578,0.607371328944
-0.576,0.606597709824
-0.574,0.605802341424
-0.572,0.604985382144
-0.57,0.60414699
-0.568,0.603287322624
-0.566,0.602406537264
-0.564,0.601504790784
-0.562,0.600582239664
-0.56,0.59963904
-0.558,0.598675347504
-0.556,0.597691317504
-0.554,0.596687104944
-0.552,0.595662864384
-0.55,0.59461875
-0.548,0.593554915584
-0.546,0.592471514544
-0.544,0.591368699904
-0.542,0.590246624304
-0.54,0.58910544
-0.538,0.587945298864
-0.536,0.586766352384
-0.534,0.585568751664
-0.532,0.584352647424
-0.53,0.58311819
-0.528,0.581865529344
-0.526,0.580594815024
-0.524,0.579306196224
-0.522,0.577999821744
-0.52,0.57667584
-0.518,0.575334399024
-0.516,0.573975646464
-0.514,0.572599729584
-0.512,0.571206795264
-0.51,0.56979699
-0.508,0.568370459904
-0.506,0.566927350704
-0.504,0.565467807744
-0.502,0.563991975984
-0.5,0.5625
-0.498,0.560992023984
-0.496,0.559468191744
-0.494,0.557928646704
-0.492,0.556373531904
-0.49,0.55480299
-0.488,0.553217163264
-0.486,0.551616193584
-0.484,0.550000222464
-0.482,0.548369391024
-0.48,0.54672384
-0.478,0.545063709744
-0.476,0.543389140224
-0.474,0.541700271024
-0.472,0.539997241344
-0.47,0.53828019
-0.468,0.536549255424
-0.466,0.534804575664
-0.464,0.533046288384
-0.462,0.531274530864
-0.46,0.52948944
-0.458,0.527691152304
-0.456,0.525879803904
-0.454,0.524055530544
-0.452,0.522218467584
-0.45,0.52036875
-0.448,0.518506512384
-0.446,0.516631888944
-0.444,0.514745013504
-0.442,0.512846019504
-0.44,0.51093504
-0.438,0.509012207664
-0.436,0.507077654784
-0.434,0.505131513264
-0.432,0.503173914624
-0.43,0.50120499
-0.428,0.499224870144
-0.426,0.497233685424
-0.424,0.495231565824
-0.422,0.493218640944
-0.42,0.49119504
-0.418,0.489160891824
-0.416,0.487116324864
-0.414,0.485061467184
-0.412,0.482996446464
-0.41,0.48092139
-0.408,0.478836424704
-0.406,0.476741677104
-0.404,0.474637273344
-0.402,0.472523339184
-0.4,0.4704
-0.398,0.468267380784
-0.396,0.466125606144
-0.394,0.463974800304
-0.392,0.461815087104
-0.39,0.45964659
-0.388,0.457469432064
-0.386,0.455283735984
-0.384,0.453089624064
-0.382,0.450887218224
-0.38,0.44867664
-0.378,0.446458010544
-0.376,0.444231450624
-0.374,0.441997080624
-0.372,0.439755020544
-0.37,0.43750539
-0.368,0.435248308224
-0.366,0.432983894064
-0.364,0.430712265984
-0.362,0.428433542064
-0.36,0.42614784
-0.358,0.423855277104
-0.356,0.421555970304
-0.354,0.419250036144
-0.352,0.416937590784
-0.35,0.41461875
-0.348,0.412293629184
-0.346,0.409962343344
-0.344,0.407625007104
-0.342,0.405281734704
-0.34,0.40293264
-0.338,0.400577836464
-0.336,0.398217437184
-0.334,0.395851554864
-0.332,0.393480301824
-0.33,0.39110379
-0.328,0.388722130944
-0.326,0.386335435824
-0.324,0.383943815424
-0.322,0.381547380144
-0.32,0.37914624
-0.318,0.376740504624
-0.316,0.374330283264
-0.314,0.371915684784
-0.312,0.369496817664
-0.31,0.36707379
-0.308,0.364646709504
-0.306,0.362215683504
-0.304,0.359780818944
-0.302,0.357342222384
-0.3,0.3549
-0.298,0.352454257584
-0.296,0.350005100544
-0.294,0.347552633904
-0.292,0.345096962304
-0.29,0.34263819
-0.288,0.340176420864
-0.286,0.337711758384
-0.284,0.335244305664
-0.282,0.332774165424
-0.28,0.33030144
-0.278,0.327826231344
-0.276,0.325348641024
-0.274,0.322868770224
-0.272,0.320386719744
-0.27,0.31790259
-0.268,0.315416481024
-0.266,0.312928492464
-0.264,0.310438723584
-0.262,0.307947273264
-0.26,0.30545424
-0.258,0.302959721904
-0.256,0.300463816704
-0.254,0.297966621744
-0.252,0.295468233984
-0.25,0.29296875
-0.248,0.290468265984
