t,fF,fC,fS
-1.818,0.0254684495908681,0.0332664058715264,0.0448347654128936
-1.815,0.0314583070763733,0.0344330313931027,0.0442668899379496
-1.812,0.0379477491754783,0.0356058513775792,0.0431341002310512
-1.809,0.0437236251015204,0.0367817327349582,0.0415642953384493
-1.806,0.0477694658099602,0.0379583929973251,0.0397118986655886
-1.803,0.0494861594576635,0.0391345340148197,0.0377490647475347
-1.8,0.0488140420477854,0.0403099194940385,0.0358558427189908
-1.797,0.0462319779237558,0.0414853917631516,0.0342098574945277
-1.794,0.0426368372047018,0.0426628266199077,0.0329760989633676
-1.791,0.0391331472684717,0.0438450286664726,0.032297405088235
-1.788,0.0367818291831124,0.0450355729557237,0.0322861868265572
-1.785,0.036364786334982,0.0462386018710393,0.0330178733349226
-1.782,0.0382172294968237,0.0474585887573579,0.0345264588507419
-1.779,0.04216337891731,0.0487000817651871,0.0368024134347399
-1.776,0.0475674306488984,0.0499674425479245,0.0397930851535769
-1.773,0.0534858311638549,0.0512645947963462,0.0434055789341201
-1.77,0.0588847317370628,0.0525947970800434,0.0475119553474665
-1.767,0.0628728161046633,0.0539604531205012,0.0519564591049076
-1.764,0.0648973554244094,0.055362970518666,0.0565643697340071
-1.761,0.0648606214438405,0.0568026762189753,0.0611519725171965
-1.758,0.063132385467465,0.0582787937666842,0.0655370817969543
-1.755,0.0604578355836521,0.0597894838888567,0.0695495150549646
-1.752,0.0577835238235828,0.0613319463024897,0.0730409168004417
-1.749,0.0560417515732256,0.0629025771331995,0.0758933663433186
-1.746,0.0559422728465946,0.0644971731166996,0.0780262711024555
-1.743,0.057817637746879,0.0661111710379697,0.0794011434626995
-1.74,0.0615556862960541,0.0677399087970113,0.0800239789427382
-1.737,0.0666326698948102,0.0693788931962415,0.0799450898069682
-1.734,0.0722378057314037,0.0710240590999244,0.0792563935114378
-1.731,0.0774598451246348,0.0726720050494379,0.0780863012411904
-1.728,0.0814929149819793,0.0743201917082439,0.0765924899313762
-1.725,0.0838153180475939,0.0759670915867915,0.0749529636336346
-1.722,0.0843017844178619,0.0776122812445169,0.073355909822307
-1.719,0.0832451681769253,0.079256470429093,0.0719889274326723
-1.716,0.0812841871221729,0.0809014662074247,0.0710282418932028
-1.713,0.0792548404969612,0.0825500738641571,0.0706285258168741
-1.71,0.0779999158515214,0.0842059399790993,0.0709139120079426
-1.707,0.0781798380105277,0.0858733464364083,0.0719707196983385
-1.704,0.0801271685372961,0.0875569669729615,0.0738423190650452
-1.701,0.0837766875966849,0.0892616000754502,0.0765264384472195
-1.698,0.0886856321808021,0.090991893456275,0.0799750800694653
-1.695,0.0941382965784882,0.0927520758924432,0.0840970613337543
-1.692,0.0993104096890196,0.0945457118635741,0.0887630483300094
-1.689,0.103455662101181,0.0963754931905647,0.0938128047313617
-1.686,0.106072298558018,0.0982430798219742,0.0990642509258044
-1.683,0.107012701284491,0.10014899915442,0.104323822504085
-1.68,0.106512125896983,0.102092609961022,0.109397540231816
-1.677,0.105131153355137,0.104072133325077,0.114102159926225
-1.674,0.103625812704188,0.1060847491435,0.118275762899135
-1.671,0.10277536404082,0.108126752994828,0.121787176440558
-1.668,0.103206864398625,0.11019376467594,0.124543677737459
-1.665,0.10525590916133,0.112280976701392,0.126496530172029
-1.662,0.108894388847599,0.114383428704368,0.127644022820022
-1.659,0.113740737388765,0.116496292116859,0.128031825337262
-1.656,0.119149485265739,0.118615148832525,0.127750623297044
-1.653,0.124359180777404,0.120736247812076,0.126931154738994
-1.65,0.128664868609178,0.122856724768238,0.125736918319274
-1.647,0.131576148830713,0.124974772103172,0.124354958421087
-1.644,0.13292546087397,0.127089749053628,0.122985245091519
-1.641,0.13290274873154,0.129202225373056,0.121829250155897
-1.638,0.132009411456914,0.131313955655478,0.121078370385556
-1.635,0.130942626054005,0.133427785369235,0.120902861133857
-1.632,0.130436660760682,0.135547493593832,0.121441918479307
-1.629,0.131097218830227,0.137677581115162,0.122795485855888
-1.626,0.133266107730131,0.139823015721999,0.125018265744185
-1.623,0.136946404543844,0.141988949074543,0.128116293502768
-1.62,0.14180445224512,0.144180421235263,0.132046285733329
-1.617,0.147247630487461,0.146402069759943,0.136717817843008
-1.614,0.152559827100925,0.148657860090795,0.14199822363521
-1.611,0.157063706908234,0.150950852876866,0.147719953056608
-1.608,0.160273079562046,0.153283021827514,0.153689981647373
-1.605,0.16200115673221,0.155655132892462,0.159700745027091
-1.602,0.162400643831235,0.158066692112862,0.165541980917623
-1.599,0.161927100472609,0.160515965595176,0.171012805138934
-1.596,0.161234314403054,0.163000070943619,0.175933330146258
-1.593,0.161025667637662,0.165515135381555,0.180155156277936
-1.59,0.161895223577858,0.168056511932685,0.183570125978184
-1.587,0.164194374130483,0.170619041641841,0.186116826667675
-1.584,0.167953927687108,0.1731973470899,0.187784453438933
-1.581,0.172878876944838,0.175786140558444,0.188613791380822
-1.578,0.178416637065512,0.17838052924169,0.188695240746663
-1.575,0.183883005597205,0.180976299947323,0.18816397713231
-1.572,0.188617182787529,0.183570166778716,0.187192503702052
-1.569,0.192130788205418,0.186159967295621,0.185981003835662
-1.566,0.194217324720619,0.188744795500858,0.184746031620093
-1.563,0.194997596682228,0.191325063539734,0.183708176835373
-1.56,0.194891116266153,0.193902488029396,0.183079404596367
-1.557,0.194520240893259,0.196480001229861,0.183050793717271
-1.554,0.194568909237305,0.199061591583362,0.183781380503859
-1.551,0.19562798844908,0.201652082236886,0.185388756733779
-1.548,0.1980621475149,0.20425685978874,0.187941975063539
-1.545,0.201928203866115,0.206881568452578,0.191457187176588
-1.542,0.20696319639094,0.209531786937164,0.195896286723109
-1.539,0.212644670185749,0.212212706470419,0.201168659062713
-1.536,0.218309376841015,0.214928828479276,0.207135962593946
-1.533,0.223303464150466,0.217683699459739,0.21361969211198
-1.53,0.227130197556957,0.220479698581513,0.220411113165537
